Date,Open,High,Low,Close,Volume,Adj Close
2010-03-12,227.37,227.73,225.75,226.6,104080900,30.79
2010-03-15,225.38,225.5,220.25,223.84,123375700,30.41
2010-03-16,224.18,224.98,222.51,224.45,111727000,30.5
2010-03-17,224.9,226.45,223.27,224.12,112739200,30.45
2010-03-18,224.1,225.0,222.61,224.65,85527400,30.52
2010-03-19,224.79,225.24,221.23,222.25,139861400,30.2
2010-03-22,220.47,226.0,220.15,224.75,114104900,30.54
2010-03-23,225.64,228.78,224.1,228.36,150607800,31.03
2010-03-24,227.64,230.2,227.51,229.37,149445100,31.16
2010-03-25,230.92,230.97,226.25,226.65,135571100,30.79
2010-03-26,228.95,231.95,228.55,230.9,160218800,31.37
2010-03-29,233.0,233.87,231.62,232.39,135186100,31.57
2010-03-30,236.6,237.48,234.25,235.85,131827500,32.04
2010-03-31,235.49,236.61,234.46,235.0,107664900,31.93
2010-04-01,237.41,238.73,232.75,235.97,150786300,32.06
2010-04-05,234.98,238.51,234.77,238.49,171126900,32.4
2010-04-06,238.2,240.24,237.0,239.54,111754300,32.55
2010-04-07,239.55,241.92,238.66,240.6,157125500,32.69
2010-04-08,240.44,241.54,238.04,239.95,143247300,32.6
2010-04-09,241.43,241.89,240.46,241.79,83545700,32.85
2010-04-12,242.2,243.07,241.81,242.29,83256600,32.92
2010-04-13,241.86,242.8,241.11,242.43,76552700,32.94
2010-04-14,245.28,245.81,244.07,245.69,101019100,33.38
2010-04-15,245.78,249.03,245.51,248.92,94196200,33.82
2010-04-16,248.57,251.14,244.55,247.4,187636400,33.61
2010-04-19,247.03,247.89,241.77,247.07,141731100,33.57
2010-04-20,248.54,249.25,242.96,244.59,184581600,33.23
2010-04-21,258.8,260.25,255.73,259.22,245597800,35.22
2010-04-22,258.24,266.75,256.2,266.47,198356200,36.21
2010-04-23,267.99,272.18,267.0,270.83,199238900,36.8
2010-04-26,271.88,272.46,268.19,269.5,119767200,36.62
2010-04-27,267.27,267.84,260.52,262.04,177335900,35.6
2010-04-28,263.25,264.0,256.41,261.6,189600600,35.54
2010-04-29,263.02,270.0,262.01,268.64,139710200,36.5
2010-04-30,269.31,270.57,261.0,261.09,135615900,35.47
2010-05-03,263.84,267.88,262.88,266.35,113585500,36.19
2010-05-04,262.89,263.29,256.75,258.68,180954900,35.15
2010-05-05,253.03,258.14,248.73,255.99,220775800,34.78
2010-05-06,253.83,258.25,199.25,246.25,321465200,33.46
2010-05-07,243.71,246.57,225.21,235.86,419004600,32.05
2010-05-10,250.25,254.65,248.53,253.99,246076600,34.51
2010-05-11,251.84,259.89,250.5,256.52,212226700,34.85
2010-05-12,259.24,263.13,258.7,262.09,163594900,35.61
2010-05-13,263.22,265.0,256.4,258.36,149928100,35.1
2010-05-14,255.16,256.48,249.5,253.82,189840700,34.49
2010-05-17,254.7,256.18,247.71,254.22,190708700,34.54
2010-05-18,256.98,258.55,250.26,252.36,195669600,34.29
2010-05-19,249.5,252.92,244.85,248.34,256431700,33.74
2010-05-20,241.88,243.85,236.21,237.76,320728800,32.3
2010-05-21,232.82,244.5,231.35,242.32,305972800,32.92
2010-05-24,247.28,250.9,246.26,246.76,188559700,33.53
2010-05-25,239.35,246.76,237.16,245.22,262001600,33.32
2010-05-26,250.08,252.13,243.75,244.11,212663500,33.17
2010-05-27,250.6,253.89,249.11,253.35,166570600,34.42
2010-05-28,259.39,259.4,253.35,256.88,203903700,34.9
2010-06-01,259.69,265.94,258.96,260.83,219118200,35.44
2010-06-02,264.54,264.8,260.33,263.95,172137000,35.86
2010-06-03,265.18,265.55,260.41,263.12,162526700,35.75
2010-06-04,258.21,261.9,254.63,255.96,189576100,34.78
2010-06-07,258.29,259.15,250.55,250.94,221735500,34.1
2010-06-08,253.24,253.8,245.65,249.33,250192600,33.88
2010-06-09,251.47,251.9,242.49,243.2,213657500,33.04
2010-06-10,244.84,250.98,242.2,250.51,194089000,34.04
2010-06-11,248.23,253.86,247.37,253.51,136439800,34.44
2010-06-14,255.96,259.15,254.01,254.28,150740100,34.55
2010-06-15,255.64,259.85,255.5,259.69,146268500,35.28
2010-06-16,261.1,267.75,260.63,267.25,195919500,36.31
2010-06-17,270.6,272.9,269.5,271.87,218213800,36.94
2010-06-18,272.25,275.0,271.42,274.07,196155400,37.24
2010-06-21,277.69,279.01,268.73,270.17,194122600,36.71
2010-06-22,272.16,275.97,271.5,273.85,179315500,37.21
2010-06-23,274.58,274.66,267.9,270.97,192114300,36.82
2010-06-24,271.0,273.2,268.1,269.0,178569300,36.55
2010-06-25,270.06,270.27,265.81,266.7,137485600,36.24
2010-06-28,266.93,269.75,264.52,268.3,146237000,36.45
2010-06-29,264.12,264.39,254.3,256.17,283336200,34.81
2010-06-30,256.71,257.97,250.01,251.53,184863000,34.18
2010-07-01,254.3,254.8,243.22,248.48,255724000,33.76
2010-07-02,250.49,250.93,243.2,246.94,173460700,33.55
2010-07-06,251.0,252.8,246.16,248.63,153808900,33.78
2010-07-07,250.49,258.77,249.75,258.67,163639000,35.15
2010-07-08,262.48,262.9,254.89,258.09,184536100,35.07
2010-07-09,256.89,259.9,255.16,259.62,108330600,35.27
2010-07-12,258.53,261.85,254.86,257.29,140719600,34.96
2010-07-13,256.32,256.4,246.43,251.8,297731000,34.21
2010-07-14,249.38,255.8,249.0,252.73,203011900,34.34
2010-07-15,248.23,256.97,247.3,251.45,206216500,34.16
2010-07-16,253.18,254.97,248.41,249.9,259964600,33.95
2010-07-19,249.88,249.88,239.6,245.58,256119500,33.37
2010-07-20,242.9,252.9,240.01,251.89,268737700,34.22
2010-07-21,265.09,265.15,254.0,254.24,296417800,34.54
2010-07-22,257.68,260.0,255.31,259.02,161329700,35.19
2010-07-23,257.09,260.38,256.28,259.94,133347200,35.32
2010-07-26,260.0,260.1,257.71,259.28,105137900,35.23
2010-07-27,260.87,264.8,260.3,264.08,146192900,35.88
2010-07-28,263.67,265.99,260.25,260.96,129996300,35.46
2010-07-29,260.71,262.65,256.1,258.11,160951700,35.07
2010-07-30,255.89,259.7,254.9,257.25,112052500,34.95
2010-08-02,260.44,262.59,259.62,261.85,107013900,35.58
2010-08-03,261.01,263.26,259.42,261.93,104413400,35.59
2010-08-04,262.84,264.28,260.31,262.98,105093800,35.73
2010-08-05,261.73,263.18,260.55,261.7,72274300,35.56
2010-08-06,259.78,261.49,257.63,260.09,111224400,35.34
